partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
7. Strong Republican,201506,6. Conservative,58,NA,"Way to Liberal; Cant even speak any longer, with or without a teleprompter; Guy is defiantly incoherent; did nothing in 47 years",Law and Order; Economy; The Wall; Bring back jobs; America First; Criminal Justice System; Conservative Supreme Court Justices; Conservative Judges,NA,"Socialism policies, Immigration, illegal immigrants, taxes"
3. Independent-Democrat,201513,99. Haven't thought much about this,30,NA,NA,NA,"Seeing this man be so disrespectful and watching display so much ignorance in the media is absurd, As well as his lack-luster support of the Black Lives Matter Movement.",Systematic RascimDiscriminationPolice BrutalitySocial Injustice
6. Not very strong Republican,201520,6. Conservative,80. Age 80 or older,NA,"Joe Biden is on record for admitting to criminal activity, and belongs in Jail. His dealings with foreign governments while VP resulting in routing millions of dollars to his older son and brother are well documented. Also, He physically and mentally deficient, and would not last in the POTUS position more than a month, if elected.","Donald Trump is a highly energetic person that accomplishes his campaign promises. He is one of the best this country has had during the 20 years I've been voting. His communication skills are the style of a person from New York City which is undesirable, but his accomplishments are outstanding.",NA,Future taxes due to Democrat Presidency
7. Strong Republican,201537,6. Conservative,-9. Refused,NA,"Mental and physical status, knowingly quoting facts out of context, multiple instances of plagiarism, 47 year lack of accomplishments, embellishment of academic record, embracement of more taxes, and positions against law enforcement, fossil fuels, and the second amendment.",NA,NA,Socialism initiatives put U.S. on path to be a third world country.
1. Strong Democrat,201544,99. Haven't thought much about this,72,"he is a people person, do gooder",NA,NA,"everything foreign policies, racist,virius handling, his ego, migrants, state of  the union",covid19spread elderly deaths economy effect
1. Strong Democrat,201551,1. Extremely liberal,38,Something im interested in,The election,The Vote That Im Interested In,NA,NA
6. Not very strong Republican,201568,99. Haven't thought much about this,60,NA,"dont trust him, i dont think hes truthfull",bring jobs back to our country,NA,racism against all
4. Independent,201575,5. Slightly conservative,52,NA,NA,"i see in something that he is saying that might helps in long run hoping it go well ..like taxes home insurance, but cute taxes now have me thinking will it hurt us in beginning of year  it lot take in",NA,the problem is everyone what to run this country but everyone dont like each color or like to tell someone what to do.  or this person might get more than other.
4. Independent,201599,4. Moderate; middle of the road,40,NA,NA,NA,NA,division of the people
1. Strong Democrat,201605,2. Liberal,23,Not Donald Trump.,Creepy vibes.,NA,Worst president possible.,"political, economic, social injustice/inequality. climate change. covid being handled very poorly"
7. Strong Republican,201629,6. Conservative,54,NA,Mr. Biden is not fit to lead the USA,President Trump kept his promises to the people,NA,Unity- The country is split in half 50/50
1. Strong Democrat,201636,3. Slightly liberal,70,"His character and his plans to reunite the country, counteract climate change and make changes to eliminate systemic racism.",NA,NA,"Lack of character, corrupt nature, narcissism, lack of empathy and concern for the environment, immigrants, and his handling of Covid-19.","The fact that over 70 million people voted fir a racist, misogynist, man who lacks empathy."
4. Independent,201650,99. Haven't thought much about this,23,NA,NA,"racism, his persona, everything about him really.",everything about him is awful.,"Equality, racism and money."
3. Independent-Democrat,201674,2. Liberal,66,Unite the country,NA,NA,NA,Systemic racism
7. Strong Republican,201681,6. Conservative,60,NA,NA,economy robust,NA,"Welfare reform, medicare and social security stability and the national debt"
5. Independent-Republican,201711,6. Conservative,50,NA,NA,"He supports the police, negotiates peace deals, excellent on the economy, redo the healthcare, keeps taxes down and tries to have law and order.",NA,Freedom is no longer in this country.  There should be no fear of violence for speaking how you feel.  Politicians (democrat and republican) are corrupt.  Violence in the streets.  A bunch of babies that don't know how to lose.
7. Strong Republican,201728,6. Conservative,62,NA,/too much baggage.  Doesn’t seem well enough physically or mentally to be up to the challenge and my fear is Kamala would become President.,"His immigration stance, his ideas on taxes, his blunt manner",NA,The loss of law and order
4. Independent,201759,2. Liberal,37,hes running against Trump,hes got a bad track record in his historical political resume,NA,he is a liar and a con man,wealth inequalityhealthcaredebtlack of social safety netspoor educationreligion based politics
4. Independent,201766,6. Conservative,52,NA,"He is not mentally fit currently and before losing his mind, he's been a despicable human.  His record doesn't show anything that has benefitted anyone in the country besides him and his family and buddies.",He cares about the country,NA,income inequality.  Health Insurance. Global Warming
6. Not very strong Republican,201773,5. Slightly conservative,52,NA,NA,His attack on the integrity of the US election system.,His proclivity to disseminate misinformation for political gain,COVID 19 response
7. Strong Republican,201780,7. Extremely conservative,76,NA,His policies do not reflect concern for people. He is pro-abortion and wants to raise taxes a great deal. He has never really accomplished anything in his many years in government.  He speaks against blacks.  He is not mentally capable of the job of president.  He just says what he's told to say.,Truly cares about this country and its people.  His policies reflect his concern about our welfare.  He is not concerned about personal gain or power as are others.,NA,Economic growth
4. Independent,201797,5. Slightly conservative,73,He is not Donald Trump,NA,NA,NA,illegal and recreational drug use is the number one problem / number two is nobody is willing to address the problem/rewarding irresponsible behavior will eventually overload the system.
